Random1
First layer
-4.777583102744437+-6.429278911312771: 0.0
124.32787978549474+44.83083364236911: -7.105427357601002e-15
-11.206862014057208+-31.615555258075457: 3.552713678800501e-15
-42.82241727213267+-4.9195634615557395: 0.0
-44.68360192400516+-19.81896509289883: -7.105427357601002e-15
-47.74198073368841+26.896608285047023: 0.0
11.442255980413954+-22.7784455731658: 0.0
-41.98485362503878+169.15871342786386: 0.0
-64.50256701690398+-176.26361611462005: 0.0
-20.845372448641385+-38.93414038635109: 0.0
-43.252609416125864+0.09524418703053424: 3.5110803153770576e-15
-11.336189592751847+-43.15736522909533: 3.552713678800501e-15
-56.81125773035642+-59.779512834992474: 0.0
-116.59077056534889+-10.944454730174815: -3.552713678800501e-15
-127.5352252955237+24.526145596768785: 0.0
-103.00907969875492+-31.984189824622003: -1.0658141036401503e-14
127.17385980282508+-134.9932695233769: 0.0
-54.493554821847184+-55.95781427097849: 0.0
-7.819409720551832+-110.45136909282567: 0.0
-118.2707788133775+-0.688975850627477: -5.329070518200751e-15
-118.95975466400498+-240.76618313152403: 2.842170943040401e-14
-359.72593779552903+11.001743863349262: 1.4210854715202004e-14
-14.224926628076101+1.0888224219862666: -2.220446049250313e-16
-0.3879114041293098+-0.4606337042900603: -5.551115123125783e-17
-12.712309429557237+2.962112957183438: 4.440892098500626e-16
-8.86019573348485+9.37769747454105: 0.0
-12.625369603857205+-6.908659151949183: 8.881784197001252e-16
-17.29479561802784+-8.287543714856971: 1.7763568394002505e-15
-19.53402875580639+-0.4258214962680624: 1.5543122344752192e-15
1.500020456406954+-0.21475730010984442: -2.7755575615628914e-17
8.28814744475941+0.017908493684757575: 2.42861286636753e-16
-5.160221135468132+-8.076163366789373: -8.881784197001252e-16
1.6216525566415418+0.23671431756813932: -1.1102230246251565e-16
11.108463530477257+24.764661458285282: -1.7763568394002505e-15
13.407175111573169+-0.5146569742599105: 0.0
0.09834068925797695+-2.9684101992744987: 1.6653345369377348e-16
36.64514060538897+44.07969594905541: 0.0
-6.693610078327255+-3.244892090739251: 0.0
35.87312498876254+45.50916108943052: 0.0
-19.959850252074453+7.384795327296422: -8.881784197001252e-16
